genre_ids,id,title,original_language,popularity,release_date,vote_average,vote_count,release_year,decade,genre
53,15196,Clue,en,6.7074,1985-12-13,7.208,1995,1985.0,1980,Thriller
80,15196,Clue,en,6.7074,1985-12-13,7.208,1995,1985.0,1980,Crime
9648,15196,Clue,en,6.7074,1985-12-13,7.208,1995,1985.0,1980,Mystery
27,1285965,Dangerous Animals,en,6.707,2025-06-05,6.5,649,2025.0,2020,Horror
53,1285965,Dangerous Animals,en,6.707,2025-06-05,6.5,649,2025.0,2020,Thriller
53,488623,Forgotten,ko,6.706,2017-11-29,7.882,1355,2017.0,2010,Thriller
9648,488623,Forgotten,ko,6.706,2017-11-29,7.882,1355,2017.0,2010,Mystery
80,488623,Forgotten,ko,6.706,2017-11-29,7.882,1355,2017.0,2010,Crime
35,3050,Doctor Dolittle,en,6.7057,1998-06-26,5.729,3325,1998.0,1990,Comedy
10751,3050,Doctor Dolittle,en,6.7057,1998-06-26,5.729,3325,1998.0,1990,Family
14,3050,Doctor Dolittle,en,6.7057,1998-06-26,5.729,3325,1998.0,1990,Fantasy
18,936653,Nina & Emma,es,6.7054,2023-04-12,3.5,2,2023.0,2020,Drama
18,1576203,Ahlan Singapore,id,6.7052,2026-02-05,6.5,2,2026.0,2020,Drama
10749,1576203,Ahlan Singapore,id,6.7052,2026-02-05,6.5,2,2026.0,2020,Romance
10402,1299655,Blue Moon,en,6.6973,2025-10-17,6.632,304,2025.0,2020,Music
36,1299655,Blue Moon,en,6.6973,2025-10-17,6.632,304,2025.0,2020,History
18,1299655,Blue Moon,en,6.6973,2025-10-17,6.632,304,2025.0,2020,Drama
35,1299655,Blue Moon,en,6.6973,2025-10-17,6.632,304,2025.0,2020,Comedy
18,773543,Fib the Truth,ru,6.6958,2021-09-09,5.8,92,2021.0,2020,Drama
53,773543,Fib the Truth,ru,6.6958,2021-09-09,5.8,92,2021.0,2020,Thriller
35,55721,Bridesmaids,en,6.6958,2011-05-13,6.511,4718,2011.0,2010,Comedy
10749,55721,Bridesmaids,en,6.6958,2011-05-13,6.511,4718,2011.0,2010,Romance
,440339,A kékszakállú herceg vára,en,6.6957,1981-01-01,10.0,1,1981.0,1980,
,458746,Opium Waltz,hu,6.6949,1943-06-17,9.0,1,1943.0,1940,
,519001,Casa Propia,es,6.6927,2018-04-13,7.3,3,2018.0,2010,
18,380912,Vão Livre,pt,6.6915,2014-01-28,10.0,1,2014.0,2010,Drama
18,172226,In Secret,en,6.6892,2014-02-21,6.12,258,2014.0,2010,Drama
53,172226,In Secret,en,6.6892,2014-02-21,6.12,258,2014.0,2010,Thriller
80,172226,In Secret,en,6.6892,2014-02-21,6.12,258,2014.0,2010,Crime
10749,172226,In Secret,en,6.6892,2014-02-21,6.12,258,2014.0,2010,Romance
28,109424,Captain Phillips,en,6.6881,2013-10-10,7.541,7576,2013.0,2010,Action
18,109424,Captain Phillips,en,6.6881,2013-10-10,7.541,7576,2013.0,2010,Drama
53,109424,Captain Phillips,en,6.6881,2013-10-10,7.541,7576,2013.0,2010,Thriller
27,1071215,Thanksgiving,en,6.687,2023-11-16,6.471,1622,2023.0,2020,Horror
9648,1071215,Thanksgiving,en,6.687,2023-11-16,6.471,1622,2023.0,2020,Mystery
14,532639,Pinocchio,en,6.6852,2022-09-07,6.268,1754,2022.0,2020,Fantasy
12,532639,Pinocchio,en,6.6852,2022-09-07,6.268,1754,2022.0,2020,Adventure
10751,532639,Pinocchio,en,6.6852,2022-09-07,6.268,1754,2022.0,2020,Family
28,479718,The Outlaws,ko,6.6851,2017-10-03,7.645,553,2017.0,2010,Action
80,479718,The Outlaws,ko,6.6851,2017-10-03,7.645,553,2017.0,2010,Crime
53,479718,The Outlaws,ko,6.6851,2017-10-03,7.645,553,2017.0,2010,Thriller
18,638,Lost Highway,en,6.6811,1997-01-15,7.5,2982,1997.0,1990,Drama
53,638,Lost Highway,en,6.6811,1997-01-15,7.5,2982,1997.0,1990,Thriller
9648,638,Lost Highway,en,6.6811,1997-01-15,7.5,2982,1997.0,1990,Mystery
10402,817758,TÁR,en,6.6792,2022-10-07,7.097,1554,2022.0,2020,Music
18,817758,TÁR,en,6.6792,2022-10-07,7.097,1554,2022.0,2020,Drama
878,2135,The Time Machine,en,6.6779,2002-03-04,6.331,2589,2002.0,2000,Science Fiction
12,2135,The Time Machine,en,6.6779,2002-03-04,6.331,2589,2002.0,2000,Adventure
28,2135,The Time Machine,en,6.6779,2002-03-04,6.331,2589,2002.0,2000,Action
35,2322,Sneakers,en,7.3534,1992-09-09,6.911,1070,1992.0,1990,Comedy
80,2322,Sneakers,en,7.3534,1992-09-09,6.911,1070,1992.0,1990,Crime
18,2322,Sneakers,en,7.3534,1992-09-09,6.911,1070,1992.0,1990,Drama
80,346685,The Girl on the Train,en,6.5281,2016-10-05,6.438,6089,2016.0,2010,Crime
9648,346685,The Girl on the Train,en,6.5281,2016-10-05,6.438,6089,2016.0,2010,Mystery
53,346685,The Girl on the Train,en,6.5281,2016-10-05,6.438,6089,2016.0,2010,Thriller
10749,408349,My Neighbor's Wife,ko,6.1267,2016-07-28,4.4,7,2016.0,2010,Romance
18,408349,My Neighbor's Wife,ko,6.1267,2016-07-28,4.4,7,2016.0,2010,Drama
53,114168,Perras,es,6.0603,2011-03-04,7.282,316,2011.0,2010,Thriller
18,114168,Perras,es,6.0603,2011-03-04,7.282,316,2011.0,2010,Drama
10749,114168,Perras,es,6.0603,2011-03-04,7.282,316,2011.0,2010,Romance
18,210203,The Favourite Game,en,5.4278,2003-02-28,4.375,8,2003.0,2000,Drama
18,87502,Flight,en,5.8248,2012-02-22,6.864,6509,2012.0,2010,Drama
28,117251,White House Down,en,6.4099,2013-06-27,6.467,5159,2013.0,2010,Action
18,117251,White House Down,en,6.4099,2013-06-27,6.467,5159,2013.0,2010,Drama
53,117251,White House Down,en,6.4099,2013-06-27,6.467,5159,2013.0,2010,Thriller
28,507244,Afterburn,en,5.5722,2025-08-20,6.3,319,2025.0,2020,Action
878,507244,Afterburn,en,5.5722,2025-08-20,6.3,319,2025.0,2020,Science Fiction
35,507244,Afterburn,en,5.5722,2025-08-20,6.3,319,2025.0,2020,Comedy
10749,1100099,We Live in Time,en,6.2107,2024-10-10,7.225,1321,2024.0,2020,Romance
18,1100099,We Live in Time,en,6.2107,2024-10-10,7.225,1321,2024.0,2020,Drama
35,1435734,Better Class,es,5.9138,2026-04-10,5.0,4,2026.0,2020,Comedy
18,1435734,Better Class,es,5.9138,2026-04-10,5.0,4,2026.0,2020,Drama
18,11051,The Last Temptation of Christ,en,6.2897,1988-05-28,7.213,1208,1988.0,1980,Drama
18,1715,The Cider House Rules,en,6.4108,1999-12-17,7.09,1310,1999.0,1990,Drama
